,1,2,3,4,5,6,7,8,9,10
1,29,38,35,25,33,28,36,39,30,25,39,35,27,34,31,39,40,29,33,28,38,39,34,27,40
2,38,28,32,30,38,38,34,23,35,38,40,33,30,34,39,25,23,24,25,34,24,25,37,37,27
3,30,25,23,36,31,25,34,33,24,27,34,35,25,33,30,30,37,28,32,28,25,25,23,35,27
4,26,25,34,34,30,37,34,31,25,38,30,37,38,24,40,37,37,31,34,38,40,26,35,30,28
5,34,29,30,34,33,29,31,29,32,35,32,36,38,35,24,36,35,25,27,35,25,23,33,34,37
6,24,27,40,30,34,27,35,30,39,34,24,34,31,32,39,27,33,33,34,34,32,36,23,32,28
7,36,40,24,40,34,27,32,36,24,40,29,30,23,40,35,32,30,35,34,37,38,35,39,28,29
8,28,34,38,29,24,36,31,38,24,28,37,27,28,36,40,25,26,25,25,37,40,34,40,29,24
9,33,27,34,36,33,36,29,37,25,37,37,23,30,28,29,38,35,34,38,26,25,34,29,40,29
10,25,27,35,33,29,28,27,36,36,27,35,40,31,24,34,37,25,35,23,36,37,37,29,29,36
